"john doe",johndoe@gmail.com,"i like red",red
"jake smith",jakesmith@gmail.com,"i like green",green
"tom jones",tomjones@gmail.com,"i like blue",blue
"kevin davis",kevindavis@gmail.com,"i like blue",blue
"kate hart",katehart@gmail.com,"i like yellow",yellow
"hillary carter",hillarycarter@yahoo.com,"i like grey",grey
"tod magik",todmagik@hotmail.com,"i like white",white
"laquisha moons",laquishaRules@gmail.com,"i like blue",blue
"logan crews",logancrews@gmail.com,"i like black",black
"tommy livings",tommylivings@yahoo.com,"i like grey",grey
"Alex News",alexnews@yahoo.com,"whats up",yellow
"Alex News",alexnews@yahoo.com,"whats up",green
